,Weekday - Level 2 - Diversified (Median) of 100 EVs
145,0.2944
146,0.2944
147,0.2944
148,0.2944
149,0.2944
150,0.2944
151,0.2944
152,0.2944
153,0.2944
154,0.2944
155,0.2944
156,0.2944
157,0.22080000000000002
158,0.22080000000000002
159,0.22080000000000002
160,0.22080000000000002
161,0.22080000000000002
162,0.22080000000000002
163,0.22080000000000002
164,0.22080000000000002
165,0.22080000000000002
166,0.22080000000000002
167,0.22080000000000002
168,0.22080000000000002
169,0.22080000000000002
170,0.22080000000000002
171,0.22080000000000002
172,0.22080000000000002
173,0.22080000000000002
174,0.22080000000000002
175,0.22080000000000002
176,0.22080000000000002
177,0.22080000000000002
178,0.22080000000000002
179,0.22080000000000002
180,0.22080000000000002
181,0.22080000000000002
182,0.22080000000000002
183,0.22080000000000002
184,0.22080000000000002
185,0.22080000000000002
186,0.22080000000000002
187,0.22080000000000002
188,0.22080000000000002
189,0.22080000000000002
190,0.22080000000000002
191,0.22080000000000002
192,0.22080000000000002
193,0.22080000000000002
194,0.22080000000000002
195,0.22080000000000002
196,0.22080000000000002
197,0.22080000000000002
198,0.22080000000000002
199,0.22080000000000002
200,0.22080000000000002
201,0.22080000000000002
202,0.22080000000000002
203,0.22080000000000002
204,0.22080000000000002
205,0.22080000000000002
206,0.22080000000000002
207,0.1472
208,0.1472
209,0.1472
210,0.1472
211,0.1472
212,0.1472
213,0.1472
214,0.1472
215,0.1472
216,0.1472
217,0.1472
218,0.1472
219,0.1472
220,0.1472
221,0.1472
222,0.1472
223,0.1472
224,0.1472
225,0.1472
226,0.1472
227,0.1472
228,0.1472
229,0.1472
230,0.1472
231,0.1472
232,0.1472
233,0.1472
234,0.1472
235,0.1472
236,0.1472
237,0.1472
238,0.1472
239,0.1472
240,0.1472
241,0.1472
242,0.1472
243,0.0736
244,0.0736
245,0.0736
246,0.0736
247,0.0736
248,0.0736
249,0.0736
250,0.0736
251,0.0736
252,0.0736
253,0.0736
254,0.0736
255,0.0736
256,0.0736
257,0.0736
258,0.0736
259,0.0736
260,0.0736
261,0.0736
262,0.0736
263,0.0736
264,0.0736
265,0.0736
266,0.0736
267,0.0736
268,0.0736
269,0.0736
270,0.0736
271,0.0736
272,0.0736
273,0.0736
274,0.0736
275,0.0736
276,0.0736
277,0.0736
278,0.0736
279,0.0736
280,0.0736
281,0.0736
282,0.0736
283,0.0736
284,0.0736
285,0.0736
286,0.0736
287,0.0736
288,0.0736
289,0.0736
290,0.0736
291,0.0736
292,0.0736
293,0.0736
294,0.0736
295,0.0736
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0368
370,0.0368
371,0.0368
372,0.0368
373,0.0368
374,0.0368
375,0.0368
376,0.0368
377,0.0368
378,0.0368
379,0.0368
380,0.0736
381,0.0736
382,0.0736
383,0.0736
384,0.0736
385,0.0736
386,0.0736
387,0.0736
388,0.0736
389,0.0736
390,0.0736
391,0.0736
392,0.0736
393,0.0736
394,0.0736
395,0.0736
396,0.0736
397,0.0736
398,0.0736
399,0.0736
400,0.0736
401,0.0736
402,0.0736
403,0.0736
404,0.0736
405,0.0736
406,0.0736
407,0.0736
408,0.0736
409,0.0736
410,0.0736
411,0.0736
412,0.0736
413,0.0736
414,0.0736
415,0.0736
416,0.0736
417,0.0736
418,0.0736
419,0.0736
420,0.0736
421,0.0736
422,0.0736
423,0.0736
424,0.0736
425,0.0736
426,0.0736
427,0.0736
428,0.0736
429,0.0736
430,0.0736
431,0.0736
432,0.1472
433,0.1472
434,0.1472
435,0.1472
436,0.1472
437,0.1472
438,0.1472
439,0.1472
440,0.1472
441,0.1472
442,0.1472
443,0.1472
444,0.1472
445,0.1472
446,0.1472
447,0.1472
448,0.1472
449,0.1472
450,0.1472
451,0.1472
452,0.1472
453,0.22080000000000002
454,0.22080000000000002
455,0.22080000000000002
456,0.22080000000000002
457,0.22080000000000002
458,0.22080000000000002
459,0.22080000000000002
460,0.22080000000000002
461,0.22080000000000002
462,0.22080000000000002
463,0.22080000000000002
464,0.22080000000000002
465,0.22080000000000002
466,0.22080000000000002
467,0.22080000000000002
468,0.22080000000000002
469,0.22080000000000002
470,0.22080000000000002
471,0.22080000000000002
472,0.22080000000000002
473,0.22080000000000002
474,0.22080000000000002
475,0.22080000000000002
476,0.22080000000000002
477,0.22080000000000002
478,0.2944
479,0.2576
480,0.2944
481,0.2944
482,0.2944
483,0.2944
484,0.2944
485,0.2944
486,0.2944
487,0.2944
488,0.2944
489,0.2944
490,0.2944
491,0.2944
492,0.2944
493,0.2944
494,0.2944
495,0.2944
496,0.2944
497,0.2944
498,0.2944
499,0.2944
500,0.2944
501,0.2944
502,0.33120000000000005
503,0.33120000000000005
504,0.33120000000000005
505,0.33120000000000005
506,0.33120000000000005
507,0.36800000000000005
508,0.36800000000000005
509,0.36800000000000005
510,0.36800000000000005
511,0.36800000000000005
512,0.36800000000000005
513,0.36800000000000005
514,0.36800000000000005
515,0.36800000000000005
516,0.36800000000000005
517,0.36800000000000005
518,0.36800000000000005
519,0.36800000000000005
520,0.36800000000000005
521,0.36800000000000005
522,0.36800000000000005
523,0.36800000000000005
524,0.36800000000000005
525,0.36800000000000005
526,0.36800000000000005
527,0.36800000000000005
528,0.40480000000000005
529,0.40480000000000005
530,0.40480000000000005
531,0.44160000000000005
532,0.44160000000000005
533,0.40480000000000005
534,0.44160000000000005
535,0.44160000000000005
536,0.44160000000000005
