,Weekend - Level 2 - Diversified (Median) of 100 EVs
212,0.22080000000000002
213,0.22080000000000002
214,0.22080000000000002
215,0.22080000000000002
216,0.22080000000000002
217,0.22080000000000002
218,0.22080000000000002
219,0.22080000000000002
220,0.22080000000000002
221,0.22080000000000002
222,0.22080000000000002
223,0.22080000000000002
224,0.22080000000000002
225,0.22080000000000002
226,0.22080000000000002
227,0.22080000000000002
228,0.22080000000000002
229,0.22080000000000002
230,0.22080000000000002
231,0.184
232,0.184
233,0.184
234,0.184
235,0.184
236,0.184
237,0.184
238,0.1472
239,0.1472
240,0.1472
241,0.1472
242,0.1472
243,0.1472
244,0.1472
245,0.1472
246,0.1472
247,0.1472
248,0.1472
249,0.1472
250,0.1472
251,0.1472
252,0.1472
253,0.1472
254,0.1472
255,0.1472
256,0.1472
257,0.1472
258,0.1472
259,0.1472
260,0.1472
261,0.1472
262,0.1472
263,0.1472
264,0.1472
265,0.1472
266,0.1472
267,0.1472
268,0.1472
269,0.1472
270,0.1472
271,0.1472
272,0.1472
273,0.1472
274,0.1472
275,0.1472
276,0.1472
277,0.1472
278,0.1472
279,0.1472
280,0.1472
281,0.1472
282,0.1472
283,0.1472
284,0.1472
285,0.1472
286,0.1472
287,0.1472
288,0.1472
289,0.1472
290,0.1472
291,0.1472
292,0.1472
293,0.1472
294,0.1472
295,0.1472
296,0.1472
297,0.1472
298,0.1472
299,0.1472
300,0.1472
301,0.1472
302,0.1472
303,0.1472
304,0.1472
305,0.1472
306,0.1472
307,0.1472
308,0.1472
309,0.1472
310,0.0736
311,0.0736
312,0.0736
313,0.0736
314,0.0736
315,0.0736
316,0.0736
317,0.0736
318,0.0736
319,0.0736
320,0.0736
321,0.0736
322,0.0736
323,0.0736
324,0.0736
325,0.0736
326,0.0736
327,0.0736
328,0.0736
329,0.0736
330,0.0736
331,0.0736
332,0.0736
333,0.0736
334,0.0736
335,0.0736
336,0.0736
337,0.0736
338,0.0736
339,0.0736
340,0.0736
341,0.0736
342,0.0736
343,0.0736
344,0.0736
345,0.0736
346,0.0736
347,0.0736
348,0.0736
349,0.0736
350,0.0736
351,0.0736
352,0.0736
353,0.0736
354,0.0736
355,0.0736
356,0.0736
357,0.0736
358,0.0736
359,0.0736
360,0.0736
361,0.0736
362,0.0736
363,0.0736
364,0.0736
365,0.0736
366,0.0736
367,0.0736
368,0.0736
369,0.0736
370,0.0736
371,0.0736
372,0.0736
373,0.0736
374,0.0736
375,0.0736
376,0.0736
377,0.0736
378,0.0736
379,0.0736
380,0.0736
381,0.0736
382,0.0736
383,0.0736
384,0.0736
385,0.0736
386,0.0736
387,0.0736
388,0.0736
389,0.0736
390,0.0736
391,0.0736
392,0.0736
393,0.0736
394,0.0736
395,0.0736
396,0.0736
397,0.0736
398,0.0736
399,0.0736
400,0.0736
401,0.0736
402,0.0736
403,0.0736
404,0.0736
405,0.0736
406,0.0736
407,0.0736
408,0.0736
409,0.0736
410,0.0736
411,0.0736
412,0.0736
413,0.0736
414,0.0736
415,0.0736
416,0.0736
417,0.0736
418,0.0736
419,0.0736
420,0.0736
421,0.0736
422,0.0736
423,0.0736
424,0.0736
425,0.0736
426,0.0736
427,0.0736
428,0.0736
429,0.0736
430,0.0736
431,0.0736
432,0.0736
433,0.0736
434,0.0736
435,0.0736
436,0.0736
437,0.0736
438,0.0736
439,0.0736
440,0.0736
441,0.0736
442,0.0736
443,0.0736
444,0.0736
445,0.0736
446,0.0736
447,0.0736
448,0.0736
449,0.0736
450,0.0736
451,0.0736
452,0.0736
453,0.0736
454,0.0736
455,0.0736
456,0.0736
457,0.0736
458,0.0736
459,0.0736
460,0.0736
461,0.0736
462,0.0736
463,0.0736
464,0.0736
465,0.0736
466,0.0736
467,0.0736
468,0.1472
469,0.1472
470,0.1472
471,0.1472
472,0.1472
473,0.1472
474,0.1472
475,0.1472
476,0.1472
477,0.1472
478,0.1472
479,0.1472
480,0.1472
481,0.1472
482,0.1472
483,0.1472
484,0.1472
485,0.1472
486,0.1472
487,0.1472
488,0.1472
489,0.1472
490,0.1472
491,0.1472
492,0.1472
493,0.1472
494,0.1472
495,0.1472
496,0.1472
497,0.1472
498,0.1472
499,0.1472
500,0.1472
501,0.1472
502,0.1472
503,0.1472
504,0.1472
505,0.1472
506,0.1472
507,0.1472
508,0.1472
509,0.1472
510,0.1472
511,0.22080000000000002
512,0.22080000000000002
513,0.22080000000000002
514,0.22080000000000002
515,0.22080000000000002
516,0.22080000000000002
517,0.184
518,0.184
519,0.22080000000000002
520,0.22080000000000002
521,0.22080000000000002
522,0.22080000000000002
523,0.22080000000000002
524,0.22080000000000002
525,0.22080000000000002
526,0.22080000000000002
527,0.22080000000000002
