,Weekend - Level 2 - Diversified (Median) of 100 EVs
111,0.36063999999999996
112,0.36063999999999996
113,0.36063999999999996
114,0.36063999999999996
115,0.36063999999999996
116,0.36063999999999996
117,0.36063999999999996
118,0.36063999999999996
119,0.36063999999999996
120,0.36063999999999996
121,0.36063999999999996
122,0.36063999999999996
123,0.36063999999999996
124,0.30912
125,0.30912
126,0.30912
127,0.30912
128,0.30912
129,0.30912
130,0.30912
131,0.30912
132,0.30912
133,0.30912
134,0.30912
135,0.30912
136,0.30912
137,0.28336
138,0.2576
139,0.2576
140,0.2576
141,0.2576
142,0.2576
143,0.2576
144,0.2576
145,0.2576
146,0.2576
147,0.2576
148,0.2576
149,0.2576
150,0.2576
151,0.2576
152,0.2576
153,0.2576
154,0.2576
155,0.23184
156,0.23184
157,0.23184
158,0.23184
159,0.20607999999999999
160,0.20607999999999999
161,0.20607999999999999
162,0.20607999999999999
163,0.20607999999999999
164,0.20607999999999999
165,0.20607999999999999
166,0.20607999999999999
167,0.20607999999999999
168,0.20607999999999999
169,0.20607999999999999
170,0.20607999999999999
171,0.20607999999999999
172,0.20607999999999999
173,0.20607999999999999
174,0.20607999999999999
175,0.20607999999999999
176,0.20607999999999999
177,0.20607999999999999
178,0.20607999999999999
179,0.20607999999999999
180,0.20607999999999999
181,0.18031999999999998
182,0.18031999999999998
183,0.18031999999999998
184,0.18031999999999998
185,0.18031999999999998
186,0.18031999999999998
187,0.20607999999999999
188,0.18031999999999998
189,0.18031999999999998
190,0.18031999999999998
191,0.18031999999999998
192,0.18031999999999998
193,0.18031999999999998
194,0.18031999999999998
195,0.15456
196,0.15456
197,0.15456
198,0.15456
199,0.15456
200,0.15456
201,0.15456
202,0.15456
203,0.15456
204,0.15456
205,0.15456
206,0.15456
207,0.15456
208,0.15456
209,0.15456
210,0.15456
211,0.15456
212,0.15456
213,0.15456
214,0.15456
215,0.15456
216,0.15456
217,0.15456
218,0.15456
219,0.15456
220,0.15456
221,0.15456
222,0.15456
223,0.15456
224,0.15456
225,0.15456
226,0.15456
227,0.15456
228,0.15456
229,0.15456
230,0.15456
231,0.1288
232,0.1288
233,0.1288
234,0.1288
235,0.1288
236,0.1288
237,0.1288
238,0.10303999999999999
239,0.10303999999999999
240,0.10303999999999999
241,0.10303999999999999
242,0.10303999999999999
243,0.10303999999999999
244,0.10303999999999999
245,0.10303999999999999
246,0.10303999999999999
247,0.10303999999999999
248,0.10303999999999999
249,0.10303999999999999
250,0.10303999999999999
251,0.10303999999999999
252,0.10303999999999999
253,0.10303999999999999
254,0.10303999999999999
255,0.10303999999999999
256,0.10303999999999999
257,0.10303999999999999
258,0.10303999999999999
259,0.10303999999999999
260,0.10303999999999999
261,0.10303999999999999
262,0.10303999999999999
263,0.10303999999999999
264,0.10303999999999999
265,0.10303999999999999
266,0.10303999999999999
267,0.10303999999999999
268,0.10303999999999999
269,0.10303999999999999
270,0.10303999999999999
271,0.10303999999999999
272,0.10303999999999999
273,0.10303999999999999
274,0.10303999999999999
275,0.10303999999999999
276,0.10303999999999999
277,0.10303999999999999
278,0.10303999999999999
279,0.10303999999999999
280,0.10303999999999999
281,0.10303999999999999
282,0.10303999999999999
283,0.10303999999999999
284,0.10303999999999999
285,0.10303999999999999
286,0.10303999999999999
287,0.10303999999999999
288,0.10303999999999999
289,0.10303999999999999
290,0.10303999999999999
291,0.10303999999999999
292,0.10303999999999999
293,0.10303999999999999
294,0.10303999999999999
295,0.10303999999999999
296,0.10303999999999999
297,0.10303999999999999
298,0.10303999999999999
299,0.10303999999999999
300,0.10303999999999999
301,0.10303999999999999
302,0.10303999999999999
303,0.10303999999999999
304,0.10303999999999999
305,0.10303999999999999
306,0.10303999999999999
307,0.10303999999999999
308,0.10303999999999999
309,0.10303999999999999
310,0.051519999999999996
311,0.051519999999999996
312,0.051519999999999996
313,0.051519999999999996
314,0.051519999999999996
315,0.051519999999999996
316,0.051519999999999996
317,0.051519999999999996
318,0.051519999999999996
319,0.051519999999999996
320,0.051519999999999996
321,0.051519999999999996
322,0.051519999999999996
323,0.051519999999999996
324,0.051519999999999996
325,0.051519999999999996
326,0.051519999999999996
327,0.051519999999999996
328,0.051519999999999996
329,0.051519999999999996
330,0.051519999999999996
331,0.051519999999999996
332,0.051519999999999996
333,0.051519999999999996
334,0.051519999999999996
335,0.051519999999999996
336,0.051519999999999996
337,0.051519999999999996
338,0.051519999999999996
339,0.051519999999999996
340,0.051519999999999996
341,0.051519999999999996
342,0.051519999999999996
343,0.051519999999999996
344,0.051519999999999996
345,0.051519999999999996
346,0.051519999999999996
347,0.051519999999999996
348,0.051519999999999996
349,0.051519999999999996
350,0.051519999999999996
351,0.051519999999999996
352,0.051519999999999996
353,0.051519999999999996
354,0.051519999999999996
355,0.051519999999999996
356,0.051519999999999996
357,0.051519999999999996
358,0.051519999999999996
359,0.051519999999999996
360,0.051519999999999996
361,0.051519999999999996
362,0.051519999999999996
