,"Weekend - Level 2 - Diversified (Average) of 1,200 EVs"
0,0.7599199999999988
1,0.7470399999999989
2,0.7427466666666657
3,0.7427466666666657
4,0.7427466666666657
5,0.7384533333333325
6,0.7427466666666657
7,0.7427466666666657
8,0.7341599999999991
9,0.7298666666666658
10,0.7255733333333326
11,0.7255733333333326
12,0.716986666666666
13,0.7083999999999995
14,0.6955199999999997
15,0.6869333333333331
16,0.6783466666666665
17,0.6740533333333333
18,0.6740533333333333
19,0.6783466666666665
20,0.6611733333333335
21,0.6611733333333335
22,0.6611733333333335
23,0.6525866666666669
24,0.6525866666666669
25,0.6482933333333336
26,0.6440000000000003
27,0.6440000000000003
28,0.6311200000000006
29,0.6311200000000006
30,0.6268266666666672
31,0.6268266666666672
32,0.6225333333333339
33,0.6225333333333339
34,0.6139466666666674
35,0.6182400000000007
36,0.6053600000000009
37,0.6010666666666675
38,0.5967733333333343
39,0.5967733333333343
40,0.5924800000000009
41,0.5881866666666676
42,0.5796000000000009
43,0.5796000000000009
44,0.5796000000000009
45,0.5796000000000009
46,0.5753066666666675
47,0.5753066666666675
48,0.5710133333333343
49,0.5710133333333343
50,0.5710133333333343
51,0.5667200000000009
52,0.5710133333333343
53,0.5753066666666675
54,0.5710133333333343
55,0.5667200000000009
56,0.5581333333333343
57,0.5495466666666675
58,0.5452533333333341
59,0.5452533333333341
60,0.5409600000000009
61,0.5409600000000009
62,0.5409600000000009
63,0.5366666666666675
64,0.5323733333333341
65,0.5280800000000008
66,0.5194933333333341
67,0.5152000000000008
68,0.5109066666666675
69,0.5066133333333341
70,0.49802666666666745
71,0.49802666666666745
72,0.4851466666666674
73,0.4765600000000007
74,0.4679733333333341
75,0.4679733333333341
76,0.4679733333333341
77,0.4679733333333341
78,0.4679733333333341
79,0.4679733333333341
80,0.4679733333333341
81,0.4679733333333341
82,0.45938666666666733
83,0.4508000000000007
84,0.442213333333334
85,0.42933333333333396
86,0.42933333333333396
87,0.42933333333333396
88,0.42504000000000064
89,0.4164533333333339
90,0.40786666666666727
91,0.40786666666666727
92,0.40786666666666727
93,0.39928000000000063
94,0.39928000000000063
95,0.3949866666666672
96,0.3949866666666672
97,0.3949866666666672
98,0.3949866666666672
99,0.3906933333333339
100,0.3906933333333339
101,0.3864000000000006
102,0.3906933333333339
103,0.3906933333333339
104,0.3906933333333339
105,0.3906933333333339
106,0.3906933333333339
107,0.3906933333333339
108,0.3735200000000006
109,0.36922666666666715
110,0.36493333333333383
