,Weekday - Level 2 - Diversified (Median) of 100 EVs
749,0.46368000000000004
750,0.48944
751,0.48944
752,0.5152
753,0.46368000000000004
754,0.46368000000000004
755,0.46368000000000004
756,0.46368000000000004
757,0.46368000000000004
758,0.46368000000000004
759,0.46368000000000004
760,0.46368000000000004
761,0.46368000000000004
762,0.46368000000000004
763,0.46368000000000004
764,0.46368000000000004
765,0.46368000000000004
766,0.46368000000000004
767,0.46368000000000004
768,0.46368000000000004
769,0.46368000000000004
770,0.46368000000000004
771,0.46368000000000004
772,0.46368000000000004
773,0.46368000000000004
774,0.46368000000000004
775,0.46368000000000004
776,0.46368000000000004
777,0.46368000000000004
778,0.46368000000000004
779,0.46368000000000004
780,0.46368000000000004
781,0.46368000000000004
782,0.5152
783,0.5152
784,0.5152
785,0.5152
786,0.5152
787,0.5152
788,0.5152
789,0.5152
790,0.5152
791,0.5152
792,0.5152
793,0.5152
794,0.5152
795,0.5152
796,0.5152
797,0.46368000000000004
798,0.46368000000000004
799,0.5152
800,0.5152
801,0.5152
802,0.5152
803,0.5152
804,0.5152
805,0.5152
806,0.5152
807,0.5152
808,0.5152
809,0.5152
810,0.5152
811,0.5152
812,0.5152
813,0.5152
814,0.5152
815,0.5152
816,0.5152
817,0.5152
818,0.5152
819,0.5152
820,0.5152
821,0.5152
822,0.5152
823,0.5152
824,0.5152
825,0.5152
826,0.5152
827,0.5152
828,0.5152
829,0.5152
830,0.5152
831,0.5152
832,0.56672
833,0.5152
834,0.5152
835,0.5152
836,0.54096
837,0.54096
838,0.54096
839,0.54096
840,0.54096
841,0.54096
842,0.5152
843,0.5152
844,0.5152
845,0.5152
846,0.5152
847,0.5152
848,0.54096
849,0.56672
850,0.56672
851,0.56672
852,0.56672
853,0.56672
854,0.56672
855,0.56672
856,0.56672
857,0.56672
858,0.56672
859,0.56672
860,0.56672
861,0.56672
862,0.56672
863,0.56672
864,0.61824
865,0.61824
866,0.61824
867,0.59248
868,0.59248
869,0.59248
870,0.59248
871,0.59248
872,0.61824
873,0.61824
874,0.61824
875,0.61824
876,0.61824
877,0.61824
878,0.61824
879,0.61824
880,0.61824
881,0.61824
882,0.61824
883,0.59248
884,0.59248
885,0.61824
886,0.61824
887,0.61824
888,0.61824
889,0.61824
890,0.61824
891,0.61824
892,0.61824
893,0.61824
894,0.56672
895,0.56672
896,0.56672
897,0.56672
898,0.56672
899,0.56672
900,0.56672
901,0.56672
902,0.56672
903,0.56672
904,0.56672
905,0.56672
906,0.56672
907,0.56672
908,0.56672
909,0.56672
910,0.56672
911,0.56672
912,0.56672
913,0.56672
914,0.56672
915,0.56672
916,0.56672
917,0.56672
918,0.56672
919,0.56672
920,0.56672
921,0.56672
922,0.56672
923,0.56672
924,0.56672
925,0.59248
926,0.59248
927,0.61824
928,0.61824
929,0.61824
930,0.61824
931,0.61824
932,0.61824
933,0.61824
934,0.66976
935,0.66976
936,0.66976
937,0.66976
938,0.66976
939,0.66976
940,0.66976
941,0.66976
942,0.66976
943,0.66976
944,0.66976
945,0.66976
946,0.66976
947,0.66976
948,0.66976
949,0.66976
950,0.66976
951,0.66976
952,0.66976
953,0.66976
954,0.66976
955,0.66976
956,0.66976
957,0.66976
958,0.66976
959,0.66976
960,0.66976
961,0.66976
962,0.66976
963,0.66976
964,0.66976
965,0.66976
966,0.66976
967,0.66976
968,0.66976
