,"Weekday - Level 2 - Diversified (Average) of 1,200 EVs"
216,0.12450666666666677
217,0.12021333333333341
218,0.12021333333333341
219,0.12021333333333341
220,0.12021333333333341
221,0.12021333333333341
222,0.12021333333333341
223,0.12021333333333341
224,0.11592000000000006
225,0.11592000000000006
226,0.11592000000000006
227,0.11592000000000006
228,0.11162666666666674
229,0.11162666666666674
230,0.11162666666666674
231,0.11162666666666674
232,0.11162666666666674
233,0.11162666666666674
234,0.11162666666666674
235,0.10733333333333339
236,0.10733333333333339
237,0.10304000000000005
238,0.10304000000000005
239,0.10304000000000005
240,0.10304000000000005
241,0.10304000000000005
242,0.10304000000000005
243,0.0987466666666667
244,0.09445333333333338
245,0.09445333333333338
246,0.09445333333333338
247,0.09445333333333338
248,0.09445333333333338
249,0.09445333333333338
250,0.09016000000000003
251,0.09016000000000003
252,0.09016000000000003
253,0.08586666666666669
254,0.08157333333333334
255,0.08157333333333334
256,0.08157333333333334
257,0.08157333333333334
258,0.08157333333333334
259,0.08157333333333334
260,0.08157333333333334
261,0.08157333333333334
262,0.08157333333333334
263,0.08157333333333334
264,0.07728
265,0.06869333333333333
266,0.06869333333333333
267,0.0644
268,0.0644
269,0.0644
270,0.0644
271,0.0644
272,0.0644
273,0.0644
274,0.06010666666666667
275,0.06010666666666667
276,0.06010666666666667
277,0.06010666666666667
278,0.06010666666666667
279,0.06010666666666667
280,0.05581333333333333
281,0.05152
282,0.04722666666666667
283,0.04722666666666667
284,0.04722666666666667
285,0.04722666666666667
286,0.04722666666666667
287,0.04722666666666667
288,0.04722666666666667
289,0.04722666666666667
290,0.04722666666666667
291,0.04722666666666667
292,0.04293333333333334
293,0.04293333333333334
294,0.04293333333333334
295,0.04293333333333334
296,0.034346666666666664
297,0.034346666666666664
298,0.034346666666666664
299,0.034346666666666664
300,0.034346666666666664
301,0.034346666666666664
302,0.034346666666666664
303,0.034346666666666664
304,0.034346666666666664
305,0.034346666666666664
306,0.034346666666666664
307,0.034346666666666664
308,0.034346666666666664
309,0.034346666666666664
310,0.034346666666666664
311,0.034346666666666664
312,0.034346666666666664
313,0.034346666666666664
314,0.030053333333333335
315,0.030053333333333335
316,0.030053333333333335
317,0.030053333333333335
318,0.030053333333333335
319,0.030053333333333335
320,0.030053333333333335
321,0.030053333333333335
322,0.02576
323,0.02576
324,0.02576
325,0.02576
326,0.02576
327,0.02576
328,0.02576
329,0.02576
330,0.02576
331,0.02576
332,0.02576
333,0.02146666666666667
334,0.02146666666666667
335,0.02146666666666667
336,0.02146666666666667
337,0.02146666666666667
338,0.02146666666666667
339,0.02146666666666667
340,0.02146666666666667
341,0.02146666666666667
342,0.02146666666666667
343,0.02146666666666667
344,0.02146666666666667
345,0.02146666666666667
346,0.02146666666666667
347,0.02146666666666667
348,0.02146666666666667
349,0.02146666666666667
350,0.02146666666666667
351,0.02146666666666667
352,0.02146666666666667
353,0.02146666666666667
354,0.02146666666666667
355,0.02146666666666667
356,0.02146666666666667
357,0.02146666666666667
358,0.02146666666666667
359,0.02576
360,0.02576
361,0.02576
362,0.02576
363,0.02576
364,0.02576
365,0.02576
366,0.02576
367,0.030053333333333335
368,0.030053333333333335
369,0.034346666666666664
370,0.034346666666666664
371,0.034346666666666664
372,0.034346666666666664
373,0.034346666666666664
374,0.034346666666666664
375,0.034346666666666664
376,0.034346666666666664
377,0.034346666666666664
378,0.034346666666666664
379,0.034346666666666664
380,0.03864
381,0.03864
382,0.04293333333333334
383,0.04293333333333334
384,0.04293333333333334
385,0.04293333333333334
386,0.05152
387,0.05152
388,0.05152
389,0.05152
390,0.05152
391,0.05152
392,0.05152
393,0.05152
394,0.05581333333333333
395,0.05581333333333333
396,0.05581333333333333
397,0.05581333333333333
398,0.05581333333333333
399,0.05581333333333333
400,0.0644
401,0.05581333333333333
402,0.05581333333333333
403,0.05581333333333333
404,0.06010666666666667
405,0.06010666666666667
406,0.06010666666666667
407,0.06010666666666667
408,0.06010666666666667
409,0.06010666666666667
410,0.05581333333333333
411,0.05581333333333333
412,0.0644
413,0.06869333333333333
414,0.06869333333333333
415,0.06869333333333333
416,0.06869333333333333
417,0.07298666666666667
418,0.07298666666666667
419,0.07298666666666667
420,0.07298666666666667
421,0.07298666666666667
422,0.07298666666666667
423,0.07728
424,0.07298666666666667
425,0.07728
426,0.07298666666666667
427,0.07298666666666667
428,0.07298666666666667
429,0.07728
430,0.08157333333333334
431,0.08586666666666669
432,0.09445333333333338
433,0.09445333333333338
434,0.09445333333333338
435,0.0987466666666667
436,0.10733333333333339
437,0.10733333333333339
438,0.10304000000000005
439,0.10304000000000005
440,0.10733333333333339
441,0.10304000000000005
442,0.10304000000000005
443,0.10733333333333339
444,0.10733333333333339
445,0.10733333333333339
446,0.10733333333333339
447,0.10733333333333339
448,0.10733333333333339
449,0.11162666666666674
450,0.11162666666666674
451,0.11592000000000006
452,0.11592000000000006
453,0.12450666666666677
454,0.12450666666666677
455,0.1288000000000001
456,0.13309333333333342
457,0.13309333333333342
458,0.13309333333333342
459,0.13738666666666677
460,0.13309333333333342
461,0.13738666666666677
462,0.13738666666666677
463,0.1416800000000001
464,0.1416800000000001
465,0.14597333333333348
466,0.1502666666666668
467,0.1502666666666668
468,0.15456000000000014
469,0.15456000000000014
470,0.15885333333333349
471,0.15885333333333349
472,0.16314666666666683
473,0.16314666666666683
474,0.16314666666666683
475,0.16314666666666683
476,0.16744000000000017
477,0.17173333333333352
478,0.18032000000000017
479,0.18032000000000017
480,0.18890666666666686
481,0.1932000000000002
482,0.19749333333333358
483,0.19749333333333358
484,0.2017866666666669
485,0.2017866666666669
486,0.2017866666666669
487,0.2017866666666669
488,0.2017866666666669
489,0.2017866666666669
490,0.2017866666666669
491,0.2017866666666669
492,0.2017866666666669
493,0.21037333333333358
494,0.21037333333333358
495,0.21466666666666692
496,0.21896000000000027
497,0.21896000000000027
498,0.2232533333333336
499,0.2232533333333336
500,0.22754666666666692
501,0.2318400000000003
502,0.24042666666666695
503,0.24042666666666695
504,0.24042666666666695
505,0.24042666666666695
506,0.24042666666666695
507,0.2447200000000003
508,0.24901333333333364
509,0.24901333333333364
510,0.24901333333333364
511,0.25760000000000033
512,0.25760000000000033
513,0.266186666666667
514,0.266186666666667
515,0.266186666666667
516,0.26189333333333364
517,0.279066666666667
518,0.279066666666667
519,0.279066666666667
520,0.279066666666667
521,0.27477333333333365
522,0.279066666666667
523,0.279066666666667
524,0.2833600000000004
525,0.2876533333333337
526,0.2919466666666671
527,0.2919466666666671
528,0.30053333333333376
529,0.30053333333333376
530,0.2962400000000004
531,0.2962400000000004
532,0.3048266666666671
533,0.30053333333333376
534,0.30053333333333376
535,0.30053333333333376
536,0.3091200000000004
537,0.3048266666666671
538,0.3048266666666671
539,0.3091200000000004
540,0.30053333333333376
541,0.31341333333333377
542,0.3177066666666671
543,0.32200000000000045
544,0.3177066666666671
545,0.32200000000000045
546,0.32629333333333377
547,0.33058666666666714
548,0.33488000000000046
549,0.33488000000000046
550,0.33488000000000046
551,0.3391733333333338
552,0.33488000000000046
553,0.3477600000000005
554,0.3520533333333339
555,0.3520533333333339
556,0.3606400000000005
557,0.36493333333333383
558,0.3735200000000006
559,0.3821066666666672
560,0.3821066666666672
561,0.3906933333333339
562,0.3864000000000006
563,0.3906933333333339
564,0.3906933333333339
565,0.3906933333333339
566,0.3864000000000006
567,0.3906933333333339
568,0.39928000000000063
569,0.3949866666666672
570,0.3949866666666672
571,0.3949866666666672
572,0.39928000000000063
573,0.39928000000000063
574,0.40357333333333395
575,0.40357333333333395
576,0.4121600000000006
577,0.4164533333333339
578,0.4164533333333339
579,0.40357333333333395
580,0.40786666666666727
581,0.4121600000000006
582,0.4164533333333339
583,0.4207466666666673
584,0.4207466666666673
585,0.42933333333333396
586,0.4336266666666673
587,0.4336266666666673
588,0.42933333333333396
589,0.42504000000000064
590,0.42504000000000064
591,0.42504000000000064
592,0.4336266666666673
593,0.4336266666666673
594,0.4336266666666673
595,0.4336266666666673
596,0.4336266666666673
597,0.4336266666666673
598,0.42504000000000064
599,0.42933333333333396
600,0.42504000000000064
601,0.4121600000000006
602,0.4164533333333339
603,0.4207466666666673
604,0.42504000000000064
605,0.42504000000000064
606,0.4121600000000006
607,0.4164533333333339
608,0.4121600000000006
609,0.4121600000000006
610,0.40786666666666727
611,0.4207466666666673
612,0.4207466666666673
613,0.4164533333333339
614,0.4164533333333339
615,0.40357333333333395
616,0.4121600000000006
617,0.4207466666666673
618,0.4164533333333339
619,0.4207466666666673
620,0.4164533333333339
621,0.4121600000000006
622,0.4207466666666673
623,0.4207466666666673
624,0.4164533333333339
625,0.4207466666666673
626,0.4207466666666673
627,0.4207466666666673
628,0.4207466666666673
629,0.4207466666666673
630,0.4207466666666673
631,0.4164533333333339
632,0.4207466666666673
633,0.4164533333333339
634,0.4164533333333339
635,0.4207466666666673
636,0.4164533333333339
637,0.4164533333333339
638,0.4207466666666673
639,0.4207466666666673
640,0.42504000000000064
641,0.42504000000000064
642,0.42504000000000064
643,0.4207466666666673
644,0.42504000000000064
645,0.4164533333333339
646,0.4164533333333339
647,0.4207466666666673
648,0.4336266666666673
649,0.42933333333333396
650,0.4207466666666673
651,0.4164533333333339
652,0.4164533333333339
653,0.4207466666666673
654,0.4121600000000006
655,0.40786666666666727
656,0.4121600000000006
657,0.4164533333333339
658,0.4164533333333339
659,0.4164533333333339
660,0.4121600000000006
661,0.4164533333333339
662,0.4121600000000006
663,0.4121600000000006
664,0.40786666666666727
665,0.4121600000000006
666,0.40786666666666727
667,0.4164533333333339
668,0.4164533333333339
669,0.4164533333333339
