,Weekend - Level 1 - Diversified (Median) of 100 EVs
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0368
487,0.0368
488,0.0368
489,0.0368
490,0.0368
491,0.0368
492,0.0368
493,0.0368
494,0.0368
495,0.0368
496,0.0368
497,0.0368
498,0.0368
499,0.0368
500,0.0368
501,0.0368
502,0.0368
503,0.0368
504,0.0368
505,0.0368
506,0.0368
507,0.0368
508,0.0368
509,0.0368
510,0.0368
511,0.0368
512,0.0368
513,0.0368
514,0.0368
515,0.0368
516,0.0368
517,0.0368
518,0.0368
519,0.0368
520,0.0368
521,0.0368
522,0.0368
523,0.0368
524,0.0368
525,0.0736
526,0.0736
527,0.0736
528,0.0736
529,0.0736
530,0.0736
531,0.0736
532,0.0736
533,0.0736
534,0.0736
535,0.0736
536,0.0736
537,0.0736
538,0.0736
539,0.0736
540,0.0736
541,0.0736
542,0.0736
543,0.0736
544,0.0736
545,0.0736
546,0.0736
547,0.0736
548,0.0736
549,0.0736
550,0.0736
551,0.0736
552,0.0736
553,0.0736
554,0.0736
555,0.11040000000000001
556,0.11040000000000001
557,0.092
558,0.11040000000000001
559,0.11040000000000001
560,0.11040000000000001
561,0.11040000000000001
562,0.11040000000000001
563,0.11040000000000001
564,0.11040000000000001
565,0.11040000000000001
566,0.11040000000000001
567,0.11040000000000001
568,0.11040000000000001
569,0.11040000000000001
570,0.11040000000000001
571,0.11040000000000001
572,0.11040000000000001
573,0.11040000000000001
574,0.11040000000000001
575,0.1472
576,0.1472
577,0.1472
578,0.1472
579,0.1472
580,0.1472
581,0.1472
582,0.1472
583,0.1472
584,0.1472
585,0.1472
586,0.1472
587,0.1472
588,0.1472
589,0.11040000000000001
590,0.1472
591,0.1472
592,0.1472
593,0.1472
594,0.1472
595,0.1472
596,0.1472
597,0.1472
598,0.1472
599,0.1472
600,0.1472
601,0.1472
602,0.1472
603,0.1472
604,0.1472
605,0.1472
606,0.1472
607,0.1472
608,0.1472
609,0.16560000000000002
610,0.18400000000000002
611,0.18400000000000002
612,0.18400000000000002
613,0.18400000000000002
614,0.18400000000000002
615,0.18400000000000002
616,0.18400000000000002
617,0.18400000000000002
618,0.18400000000000002
619,0.18400000000000002
620,0.18400000000000002
621,0.18400000000000002
