,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs
0,0.33488
1,0.31556
2,0.31556
3,0.31556
4,0.31556
5,0.31556
6,0.31556
7,0.30912
8,0.30912
9,0.30912
10,0.30912
11,0.30912
12,0.30912
13,0.28336
14,0.28336
15,0.28336
16,0.28336
17,0.28336
18,0.28336
19,0.2576
20,0.2576
21,0.2576
22,0.2576
23,0.2576
24,0.2576
25,0.2576
26,0.2576
27,0.2576
28,0.2576
29,0.2576
30,0.23184000000000002
31,0.23184000000000002
32,0.23184000000000002
33,0.23184000000000002
34,0.20607999999999999
35,0.20607999999999999
36,0.20607999999999999
37,0.21252
38,0.20607999999999999
39,0.20607999999999999
40,0.20607999999999999
41,0.20607999999999999
42,0.20607999999999999
43,0.20607999999999999
44,0.20607999999999999
45,0.20607999999999999
46,0.18031999999999998
47,0.18031999999999998
48,0.18031999999999998
49,0.18031999999999998
50,0.18031999999999998
51,0.18031999999999998
52,0.15456
53,0.15456
54,0.15456
55,0.15456
56,0.15456
57,0.15456
58,0.15456
59,0.15456
60,0.15456
61,0.15456
62,0.15456
63,0.15456
64,0.15456
65,0.15456
66,0.15456
67,0.15456
68,0.1288
69,0.1288
70,0.1288
71,0.1288
72,0.1288
73,0.1288
74,0.1288
75,0.1288
76,0.1288
77,0.1288
78,0.10948
79,0.10948
80,0.10948
81,0.10948
82,0.10303999999999999
83,0.10303999999999999
84,0.10303999999999999
85,0.10303999999999999
86,0.10303999999999999
87,0.10303999999999999
88,0.10303999999999999
89,0.10303999999999999
90,0.10303999999999999
91,0.10303999999999999
92,0.10303999999999999
93,0.10303999999999999
94,0.10303999999999999
95,0.10303999999999999
96,0.10303999999999999
97,0.10303999999999999
98,0.10303999999999999
99,0.10303999999999999
100,0.10303999999999999
101,0.08371999999999999
102,0.08371999999999999
103,0.08371999999999999
104,0.08371999999999999
105,0.08371999999999999
106,0.07728
107,0.07728
108,0.07728
109,0.07728
110,0.07728
111,0.07728
112,0.07728
113,0.07728
114,0.07728
115,0.07728
116,0.07728
117,0.07728
118,0.07728
119,0.07728
120,0.07728
121,0.07728
122,0.07728
123,0.051519999999999996
124,0.051519999999999996
125,0.051519999999999996
126,0.051519999999999996
127,0.051519999999999996
128,0.051519999999999996
129,0.051519999999999996
130,0.051519999999999996
131,0.051519999999999996
132,0.051519999999999996
133,0.051519999999999996
134,0.051519999999999996
135,0.051519999999999996
136,0.051519999999999996
137,0.051519999999999996
138,0.051519999999999996
139,0.051519999999999996
140,0.051519999999999996
141,0.051519999999999996
142,0.051519999999999996
143,0.051519999999999996
144,0.051519999999999996
145,0.051519999999999996
146,0.051519999999999996
147,0.051519999999999996
148,0.051519999999999996
149,0.051519999999999996
150,0.051519999999999996
151,0.051519999999999996
152,0.051519999999999996
153,0.051519999999999996
154,0.051519999999999996
155,0.051519999999999996
156,0.051519999999999996
157,0.051519999999999996
158,0.051519999999999996
159,0.051519999999999996
160,0.051519999999999996
161,0.051519999999999996
162,0.025759999999999998
163,0.025759999999999998
164,0.025759999999999998
165,0.025759999999999998
166,0.025759999999999998
167,0.025759999999999998
168,0.025759999999999998
169,0.025759999999999998
170,0.025759999999999998
171,0.025759999999999998
172,0.025759999999999998
173,0.025759999999999998
174,0.025759999999999998
175,0.025759999999999998
176,0.025759999999999998
177,0.025759999999999998
178,0.025759999999999998
179,0.025759999999999998
180,0.025759999999999998
181,0.025759999999999998
182,0.025759999999999998
183,0.025759999999999998
184,0.025759999999999998
185,0.025759999999999998
186,0.025759999999999998
187,0.025759999999999998
188,0.025759999999999998
189,0.025759999999999998
190,0.025759999999999998
191,0.025759999999999998
192,0.025759999999999998
193,0.025759999999999998
194,0.025759999999999998
195,0.025759999999999998
196,0.025759999999999998
197,0.025759999999999998
198,0.025759999999999998
199,0.025759999999999998
200,0.025759999999999998
201,0.025759999999999998
202,0.025759999999999998
203,0.025759999999999998
204,0.025759999999999998
205,0.025759999999999998
206,0.025759999999999998
207,0.025759999999999998
208,0.025759999999999998
209,0.025759999999999998
210,0.025759999999999998
211,0.025759999999999998
212,0.025759999999999998
213,0.025759999999999998
214,0.025759999999999998
215,0.025759999999999998
216,0.025759999999999998
217,0.025759999999999998
218,0.025759999999999998
219,0.025759999999999998
220,0.025759999999999998
221,0.025759999999999998
222,0.025759999999999998
223,0.025759999999999998
224,0.025759999999999998
225,0.025759999999999998
226,0.025759999999999998
227,0.025759999999999998
228,0.025759999999999998
229,0.025759999999999998
230,0.025759999999999998
231,0.025759999999999998
232,0.025759999999999998
233,0.025759999999999998
234,0.025759999999999998
235,0.025759999999999998
236,0.025759999999999998
237,0.025759999999999998
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.025759999999999998
416,0.025759999999999998
417,0.025759999999999998
418,0.025759999999999998
419,0.025759999999999998
420,0.025759999999999998
421,0.025759999999999998
422,0.025759999999999998
423,0.025759999999999998
424,0.025759999999999998
425,0.025759999999999998
426,0.025759999999999998
427,0.025759999999999998
428,0.025759999999999998
429,0.025759999999999998
430,0.025759999999999998
431,0.025759999999999998
432,0.025759999999999998
