,"Weekday - Level 1 - Diversified (Average) of 1,200 EVs"
0,0.2940933333333338
1,0.28550666666666713
2,0.28121333333333376
3,0.28121333333333376
4,0.28121333333333376
5,0.27906666666666713
6,0.27477333333333376
7,0.2726266666666671
8,0.2726266666666671
9,0.27048000000000044
10,0.2640400000000004
11,0.26189333333333376
12,0.2576000000000004
13,0.24901333333333373
14,0.24472000000000038
15,0.24472000000000038
16,0.240426666666667
17,0.23828000000000035
18,0.2361333333333337
19,0.22969333333333367
20,0.22540000000000035
21,0.22540000000000035
22,0.22540000000000035
23,0.221106666666667
24,0.221106666666667
25,0.221106666666667
26,0.221106666666667
27,0.21896000000000032
28,0.21896000000000032
29,0.21681333333333366
30,0.21037333333333366
31,0.20822666666666695
32,0.2060800000000003
33,0.20178666666666698
34,0.1932000000000003
35,0.1932000000000003
36,0.18890666666666694
37,0.1910533333333336
38,0.18890666666666694
39,0.1867600000000003
40,0.18246666666666692
41,0.1781733333333336
42,0.1781733333333336
43,0.17388000000000026
44,0.1695866666666669
45,0.1695866666666669
46,0.16744000000000023
47,0.16529333333333357
48,0.16314666666666688
49,0.16314666666666688
50,0.16100000000000023
51,0.15241333333333354
52,0.14382666666666685
53,0.1395333333333335
54,0.1330933333333335
55,0.12880000000000016
56,0.12880000000000016
57,0.1266533333333335
58,0.1266533333333335
59,0.1266533333333335
60,0.1266533333333335
61,0.1266533333333335
62,0.12450666666666682
63,0.12236000000000015
64,0.12236000000000015
65,0.12236000000000015
66,0.12021333333333348
67,0.11592000000000015
68,0.11377333333333346
69,0.10948000000000013
70,0.10518666666666679
71,0.10089333333333345
72,0.10089333333333345
73,0.10089333333333345
74,0.09874666666666679
75,0.09874666666666679
76,0.0966000000000001
77,0.09445333333333343
78,0.09016000000000009
79,0.09016000000000009
80,0.09016000000000009
81,0.09016000000000009
82,0.08801333333333343
83,0.08801333333333343
84,0.08586666666666676
85,0.08586666666666676
86,0.08586666666666676
87,0.08372000000000009
88,0.08157333333333341
89,0.07942666666666674
90,0.07942666666666674
91,0.07728000000000007
92,0.07728000000000007
93,0.07728000000000007
94,0.07728000000000007
95,0.0751333333333334
96,0.07084000000000006
97,0.07084000000000006
98,0.06869333333333338
99,0.06869333333333338
100,0.06869333333333338
101,0.06654666666666671
102,0.06654666666666671
103,0.06654666666666671
104,0.06440000000000005
105,0.06440000000000005
106,0.06225333333333338
107,0.06225333333333338
108,0.060106666666666704
109,0.060106666666666704
110,0.05796000000000003
111,0.05796000000000003
112,0.05796000000000003
113,0.05796000000000003
114,0.053666666666666696
115,0.04937333333333335
116,0.04937333333333335
117,0.04937333333333335
118,0.04937333333333335
119,0.04937333333333335
120,0.04937333333333335
121,0.04937333333333335
122,0.04722666666666669
123,0.045080000000000016
124,0.045080000000000016
125,0.045080000000000016
126,0.042933333333333344
127,0.03864
128,0.03864
129,0.03864
130,0.03864
131,0.03864
132,0.03864
133,0.03864
134,0.03864
135,0.03864
136,0.03864
137,0.036493333333333336
138,0.036493333333333336
139,0.036493333333333336
140,0.036493333333333336
141,0.036493333333333336
142,0.034346666666666664
143,0.0322
144,0.0322
145,0.0322
146,0.0322
147,0.0322
148,0.0322
149,0.0322
150,0.0322
151,0.0322
152,0.0322
153,0.0322
154,0.0322
155,0.0322
156,0.030053333333333335
157,0.030053333333333335
158,0.027906666666666666
159,0.02576
160,0.02576
161,0.02576
162,0.023613333333333333
163,0.023613333333333333
164,0.023613333333333333
165,0.023613333333333333
166,0.023613333333333333
167,0.023613333333333333
168,0.02146666666666667
169,0.02146666666666667
170,0.02146666666666667
171,0.02146666666666667
172,0.02146666666666667
173,0.02146666666666667
174,0.02146666666666667
175,0.01932
176,0.01932
177,0.01932
178,0.01932
179,0.01932
180,0.01932
181,0.01932
182,0.01932
183,0.01932
184,0.01932
185,0.01932
186,0.01932
187,0.01932
188,0.017173333333333332
189,0.017173333333333332
190,0.017173333333333332
191,0.017173333333333332
192,0.017173333333333332
193,0.015026666666666667
194,0.015026666666666667
195,0.015026666666666667
196,0.015026666666666667
197,0.015026666666666667
198,0.015026666666666667
199,0.015026666666666667
200,0.015026666666666667
201,0.015026666666666667
202,0.015026666666666667
203,0.015026666666666667
204,0.015026666666666667
205,0.015026666666666667
206,0.015026666666666667
207,0.01288
208,0.01288
209,0.01288
210,0.01288
211,0.01288
212,0.01288
213,0.01288
214,0.01288
215,0.01288
216,0.01288
217,0.01288
218,0.01288
219,0.01288
220,0.01288
221,0.01288
222,0.010733333333333334
223,0.010733333333333334
224,0.010733333333333334
225,0.010733333333333334
226,0.010733333333333334
227,0.010733333333333334
228,0.010733333333333334
229,0.010733333333333334
230,0.010733333333333334
231,0.010733333333333334
232,0.010733333333333334
233,0.010733333333333334
234,0.010733333333333334
235,0.010733333333333334
236,0.010733333333333334
237,0.010733333333333334
238,0.008586666666666666
239,0.008586666666666666
240,0.008586666666666666
241,0.008586666666666666
242,0.008586666666666666
243,0.008586666666666666
244,0.008586666666666666
245,0.008586666666666666
246,0.008586666666666666
247,0.008586666666666666
248,0.008586666666666666
249,0.008586666666666666
250,0.008586666666666666
251,0.008586666666666666
252,0.008586666666666666
253,0.008586666666666666
