,"Weekend - Level 2 - Diversified (Average) of 1,200 EVs"
0,1.0855999999999983
1,1.0671999999999986
2,1.0610666666666653
3,1.0610666666666653
4,1.0610666666666653
5,1.0549333333333322
6,1.0610666666666653
7,1.0610666666666653
8,1.0487999999999988
9,1.0426666666666655
10,1.0365333333333324
11,1.0365333333333324
12,1.0242666666666658
13,1.0119999999999993
14,0.9935999999999996
15,0.9813333333333331
16,0.9690666666666665
17,0.9629333333333333
18,0.9629333333333333
19,0.9690666666666665
20,0.9445333333333336
21,0.9445333333333336
22,0.9445333333333336
23,0.932266666666667
24,0.932266666666667
25,0.9261333333333338
26,0.9200000000000006
27,0.9200000000000006
28,0.9016000000000008
29,0.9016000000000008
30,0.8954666666666675
31,0.8954666666666675
32,0.8893333333333343
33,0.8893333333333343
34,0.8770666666666678
35,0.8832000000000011
36,0.8648000000000013
37,0.858666666666668
38,0.8525333333333347
39,0.8525333333333347
40,0.8464000000000014
41,0.840266666666668
42,0.8280000000000013
43,0.8280000000000013
44,0.8280000000000013
45,0.8280000000000013
46,0.821866666666668
47,0.821866666666668
48,0.8157333333333346
49,0.8157333333333346
50,0.8157333333333346
51,0.8096000000000013
52,0.8157333333333346
53,0.821866666666668
54,0.8157333333333346
55,0.8096000000000013
56,0.7973333333333347
57,0.7850666666666679
58,0.7789333333333346
59,0.7789333333333346
60,0.7728000000000013
61,0.7728000000000013
62,0.7728000000000013
63,0.7666666666666679
64,0.7605333333333345
65,0.7544000000000012
66,0.7421333333333345
67,0.7360000000000012
68,0.7298666666666679
69,0.7237333333333344
70,0.7114666666666678
71,0.7114666666666678
72,0.6930666666666677
73,0.6808000000000011
74,0.6685333333333344
75,0.6685333333333344
76,0.6685333333333344
77,0.6685333333333344
78,0.6685333333333344
79,0.6685333333333344
80,0.6685333333333344
81,0.6685333333333344
82,0.6562666666666677
83,0.644000000000001
84,0.6317333333333344
85,0.6133333333333343
86,0.6133333333333343
87,0.6133333333333343
88,0.607200000000001
89,0.5949333333333342
90,0.5826666666666676
91,0.5826666666666676
92,0.5826666666666676
93,0.5704000000000009
94,0.5704000000000009
95,0.5642666666666675
96,0.5642666666666675
97,0.5642666666666675
98,0.5642666666666675
99,0.5581333333333341
100,0.5581333333333341
101,0.5520000000000008
102,0.5581333333333341
103,0.5581333333333341
104,0.5581333333333341
105,0.5581333333333341
106,0.5581333333333341
107,0.5581333333333341
108,0.5336000000000009
109,0.5274666666666674
110,0.5213333333333341
111,0.5152000000000008
112,0.5152000000000008
113,0.5090666666666674
114,0.5029333333333341
115,0.49680000000000074
116,0.49680000000000074
117,0.49066666666666736
118,0.48453333333333404
119,0.48453333333333404
120,0.48453333333333404
121,0.4784000000000007
122,0.47226666666666733
123,0.466133333333334
124,0.4600000000000007
125,0.4600000000000007
126,0.447733333333334
127,0.447733333333334
128,0.4416000000000006
129,0.447733333333334
130,0.447733333333334
131,0.447733333333334
132,0.4416000000000006
133,0.4416000000000006
134,0.4354666666666673
135,0.4232000000000006
136,0.4232000000000006
137,0.41706666666666725
138,0.41093333333333393
139,0.41093333333333393
140,0.41093333333333393
141,0.40480000000000055
142,0.39253333333333384
143,0.39253333333333384
144,0.3864000000000005
145,0.3802666666666672
146,0.3802666666666672
147,0.3741333333333338
148,0.3741333333333338
149,0.3741333333333338
150,0.3741333333333338
151,0.3741333333333338
152,0.3741333333333338
153,0.36186666666666717
154,0.36186666666666717
155,0.3557333333333338
156,0.3557333333333338
157,0.3557333333333338
158,0.3557333333333338
159,0.3434666666666671
160,0.33733333333333376
161,0.32506666666666706
162,0.31893333333333374
163,0.31893333333333374
164,0.31893333333333374
165,0.3128000000000004
166,0.3128000000000004
167,0.3128000000000004
168,0.30666666666666703
169,0.30666666666666703
170,0.3128000000000004
171,0.30666666666666703
172,0.30666666666666703
173,0.30666666666666703
174,0.2944000000000004
175,0.2944000000000004
176,0.2944000000000004
177,0.2944000000000004
178,0.2944000000000004
179,0.288266666666667
180,0.2821333333333337
181,0.2760000000000003
182,0.2760000000000003
183,0.2760000000000003
184,0.2760000000000003
185,0.2760000000000003
186,0.2760000000000003
187,0.2821333333333337
188,0.2760000000000003
189,0.2760000000000003
190,0.2760000000000003
191,0.2760000000000003
192,0.2760000000000003
193,0.2760000000000003
194,0.2760000000000003
195,0.269866666666667
196,0.26373333333333365
197,0.26373333333333365
198,0.26373333333333365
199,0.25146666666666695
200,0.25146666666666695
201,0.25146666666666695
202,0.25146666666666695
203,0.25146666666666695
204,0.2453333333333336
205,0.2453333333333336
206,0.23920000000000025
207,0.23920000000000025
208,0.23920000000000025
209,0.23306666666666692
210,0.23306666666666692
211,0.22693333333333357
212,0.22080000000000022
213,0.22080000000000022
214,0.21466666666666687
215,0.21466666666666687
216,0.21466666666666687
217,0.20853333333333354
218,0.20853333333333354
219,0.2024000000000002
220,0.2024000000000002
221,0.2024000000000002
222,0.2024000000000002
223,0.2024000000000002
224,0.2024000000000002
225,0.2024000000000002
226,0.2024000000000002
227,0.2024000000000002
228,0.2024000000000002
229,0.2024000000000002
230,0.2024000000000002
231,0.19626666666666684
232,0.19626666666666684
233,0.19626666666666684
234,0.19626666666666684
235,0.19626666666666684
236,0.19626666666666684
237,0.19626666666666684
238,0.1901333333333335
239,0.1901333333333335
240,0.1901333333333335
241,0.18400000000000016
242,0.18400000000000016
243,0.18400000000000016
