,"Weekend - Level 1 - Diversified (Average) of 1,200 EVs"
425,0.0030666666666666668
426,0.0030666666666666668
427,0.0030666666666666668
428,0.0030666666666666668
429,0.0030666666666666668
430,0.0061333333333333335
431,0.0061333333333333335
432,0.0061333333333333335
433,0.0061333333333333335
434,0.0061333333333333335
435,0.0061333333333333335
436,0.0061333333333333335
437,0.0061333333333333335
438,0.0061333333333333335
439,0.009200000000000002
440,0.009200000000000002
441,0.009200000000000002
442,0.009200000000000002
443,0.009200000000000002
444,0.009200000000000002
445,0.009200000000000002
446,0.009200000000000002
447,0.009200000000000002
448,0.009200000000000002
449,0.009200000000000002
450,0.009200000000000002
451,0.009200000000000002
452,0.009200000000000002
453,0.009200000000000002
454,0.009200000000000002
455,0.009200000000000002
456,0.009200000000000002
457,0.009200000000000002
458,0.009200000000000002
459,0.009200000000000002
460,0.009200000000000002
461,0.009200000000000002
462,0.009200000000000002
463,0.009200000000000002
464,0.012266666666666667
465,0.012266666666666667
466,0.015333333333333336
467,0.015333333333333336
468,0.018400000000000003
469,0.018400000000000003
470,0.018400000000000003
471,0.018400000000000003
472,0.018400000000000003
473,0.018400000000000003
474,0.018400000000000003
475,0.02146666666666667
476,0.02146666666666667
477,0.02146666666666667
478,0.02146666666666667
479,0.024533333333333334
480,0.024533333333333334
481,0.024533333333333334
482,0.024533333333333334
483,0.024533333333333334
484,0.024533333333333334
485,0.024533333333333334
486,0.030666666666666672
487,0.030666666666666672
488,0.03373333333333334
489,0.03373333333333334
490,0.03373333333333334
491,0.03373333333333334
492,0.03373333333333334
493,0.03373333333333334
494,0.03373333333333334
495,0.03373333333333334
496,0.03373333333333334
497,0.03373333333333334
498,0.03373333333333334
499,0.036800000000000006
500,0.036800000000000006
501,0.03986666666666667
502,0.03986666666666667
503,0.03986666666666667
504,0.036800000000000006
505,0.03986666666666667
506,0.03986666666666667
507,0.04293333333333334
508,0.04293333333333334
509,0.046
510,0.046
511,0.04906666666666667
512,0.04906666666666667
513,0.05213333333333334
514,0.05213333333333334
515,0.05213333333333334
516,0.05213333333333334
517,0.05213333333333334
518,0.05213333333333334
519,0.05213333333333334
520,0.05826666666666668
521,0.06133333333333335
522,0.05826666666666668
523,0.05826666666666668
524,0.05826666666666668
525,0.06440000000000003
526,0.06440000000000003
527,0.06440000000000003
528,0.06440000000000003
529,0.06440000000000003
530,0.0674666666666667
531,0.07053333333333336
532,0.07053333333333336
533,0.07053333333333336
534,0.07053333333333336
535,0.07053333333333336
536,0.07053333333333336
537,0.07360000000000004
538,0.07360000000000004
539,0.07973333333333339
540,0.08280000000000005
541,0.08586666666666673
542,0.0889333333333334
543,0.0889333333333334
544,0.08586666666666673
545,0.09200000000000008
546,0.09200000000000008
547,0.09200000000000008
548,0.09200000000000008
549,0.09200000000000008
550,0.0889333333333334
551,0.08586666666666673
552,0.08280000000000005
553,0.08586666666666673
554,0.08586666666666673
555,0.09813333333333342
556,0.09813333333333342
557,0.09506666666666674
558,0.09813333333333342
559,0.1012000000000001
560,0.10426666666666677
561,0.10733333333333343
562,0.11040000000000011
563,0.11040000000000011
564,0.11346666666666679
565,0.11346666666666679
566,0.11346666666666679
567,0.11346666666666679
568,0.11346666666666679
569,0.11653333333333346
570,0.11960000000000012
571,0.11960000000000012
572,0.11960000000000012
573,0.1226666666666668
574,0.12573333333333347
575,0.12880000000000014
576,0.12880000000000014
577,0.12880000000000014
578,0.1349333333333335
579,0.13800000000000015
580,0.13800000000000015
581,0.13800000000000015
582,0.13186666666666683
583,0.13186666666666683
584,0.13186666666666683
585,0.13186666666666683
586,0.1349333333333335
587,0.13186666666666683
588,0.13186666666666683
589,0.13186666666666683
590,0.13800000000000015
591,0.14106666666666684
592,0.1441333333333335
593,0.1472000000000002
594,0.15026666666666685
595,0.15026666666666685
596,0.15333333333333352
597,0.15026666666666685
598,0.15026666666666685
599,0.1564000000000002
600,0.15946666666666687
601,0.16560000000000022
602,0.16866666666666688
603,0.17173333333333354
604,0.16866666666666688
605,0.16866666666666688
606,0.16866666666666688
607,0.17480000000000023
608,0.17480000000000023
609,0.18400000000000025
610,0.1870666666666669
611,0.19320000000000026
612,0.1901333333333336
613,0.1901333333333336
614,0.19320000000000026
615,0.1993333333333336
616,0.20240000000000027
617,0.20240000000000027
618,0.20546666666666696
619,0.20853333333333363
620,0.20853333333333363
621,0.21466666666666698
622,0.21773333333333364
623,0.21773333333333364
624,0.22693333333333365
625,0.23000000000000034
626,0.23000000000000034
627,0.23000000000000034
628,0.233066666666667
629,0.233066666666667
630,0.23920000000000036
631,0.24226666666666702
632,0.24840000000000037
633,0.24840000000000037
634,0.25146666666666706
635,0.26066666666666705
636,0.2576000000000004
637,0.2576000000000004
638,0.2637333333333337
639,0.2668000000000004
640,0.2698666666666671
641,0.27293333333333375
642,0.2668000000000004
643,0.27293333333333375
644,0.2760000000000004
645,0.2790666666666671
646,0.28213333333333374
647,0.28520000000000045
648,0.2913333333333338
649,0.2913333333333338
650,0.29440000000000044
651,0.2913333333333338
652,0.3005333333333338
653,0.2974666666666671
654,0.2974666666666671
655,0.3005333333333338
656,0.3005333333333338
657,0.3036000000000005
658,0.3036000000000005
659,0.3158666666666672
660,0.32506666666666717
661,0.3158666666666672
662,0.3158666666666672
663,0.31893333333333385
664,0.31893333333333385
665,0.32506666666666717
666,0.3312000000000005
667,0.3434666666666672
668,0.34040000000000054
669,0.3373333333333339
670,0.3373333333333339
671,0.3373333333333339
672,0.3496000000000006
673,0.3557333333333339
674,0.34653333333333386
675,0.35266666666666724
676,0.3557333333333339
677,0.35880000000000056
678,0.3557333333333339
679,0.36493333333333394
680,0.3618666666666672
681,0.3680000000000006
682,0.3680000000000006
683,0.37413333333333393
684,0.37413333333333393
685,0.38333333333333397
686,0.3894666666666673
687,0.38026666666666725
688,0.38333333333333397
689,0.38640000000000063
690,0.38026666666666725
691,0.38026666666666725
692,0.38026666666666725
693,0.3894666666666673
694,0.401733333333334
695,0.401733333333334
696,0.4078666666666673
697,0.4078666666666673
698,0.4078666666666673
699,0.41706666666666736
700,0.410933333333334
701,0.41400000000000065
702,0.41400000000000065
703,0.41400000000000065
704,0.41400000000000065
705,0.41400000000000065
706,0.41706666666666736
707,0.41400000000000065
708,0.4078666666666673
709,0.40480000000000066
710,0.40480000000000066
711,0.40480000000000066
712,0.39866666666666734
713,0.39866666666666734
714,0.40480000000000066
715,0.40480000000000066
716,0.40480000000000066
717,0.4078666666666673
718,0.401733333333334
719,0.401733333333334
720,0.39866666666666734
721,0.39866666666666734
722,0.39866666666666734
723,0.40480000000000066
724,0.41400000000000065
725,0.41706666666666736
726,0.420133333333334
727,0.42626666666666735
728,0.4232000000000007
729,0.4232000000000007
730,0.429333333333334
731,0.4324000000000007
732,0.4385333333333339
733,0.44160000000000055
734,0.44160000000000055
735,0.44466666666666715
736,0.45693333333333364
737,0.45386666666666703
738,0.45386666666666703
739,0.45386666666666703
740,0.45386666666666703
741,0.44773333333333376
742,0.44773333333333376
743,0.44773333333333376
744,0.45386666666666703
745,0.4630666666666669
746,0.4630666666666669
747,0.4661333333333335
748,0.4600000000000003
749,0.4661333333333335
750,0.4661333333333335
751,0.4630666666666669
752,0.4630666666666669
753,0.45693333333333364
754,0.44160000000000055
755,0.44773333333333376
756,0.4508000000000004
757,0.45386666666666703
758,0.4508000000000004
759,0.45386666666666703
760,0.45386666666666703
761,0.45693333333333364
762,0.45386666666666703
763,0.45386666666666703
764,0.4692000000000002
765,0.4753333333333334
766,0.47840000000000005
767,0.48146666666666665
768,0.47840000000000005
769,0.47840000000000005
770,0.47840000000000005
771,0.47840000000000005
772,0.4753333333333334
773,0.4753333333333334
774,0.48146666666666665
775,0.48146666666666665
776,0.47840000000000005
777,0.47840000000000005
778,0.4875999999999999
779,0.49066666666666653
780,0.502933333333333
781,0.49373333333333314
782,0.49066666666666653
783,0.4967999999999998
784,0.5059999999999997
785,0.5121333333333329
786,0.5121333333333329
787,0.5151999999999995
788,0.5213333333333328
789,0.5213333333333328
790,0.5274666666666661
791,0.5151999999999995
792,0.5090666666666663
793,0.5121333333333329
794,0.5213333333333328
795,0.5305333333333326
796,0.5427999999999992
797,0.5397333333333325
798,0.5397333333333325
799,0.5427999999999992
800,0.551999999999999
801,0.5642666666666656
802,0.5642666666666656
803,0.5673333333333321
804,0.5611999999999989
805,0.5581333333333323
806,0.5550666666666657
807,0.551999999999999
808,0.5458666666666658
809,0.5489333333333324
810,0.5489333333333324
811,0.551999999999999
812,0.5550666666666657
813,0.5581333333333323
814,0.5734666666666655
815,0.5734666666666655
816,0.576533333333332
817,0.5734666666666655
818,0.5857333333333319
819,0.5857333333333319
820,0.5857333333333319
821,0.5918666666666652
822,0.5918666666666652
823,0.5857333333333319
824,0.576533333333332
825,0.5795999999999987
826,0.5826666666666653
827,0.5826666666666653
828,0.576533333333332
829,0.5703999999999988
830,0.576533333333332
831,0.576533333333332
832,0.5703999999999988
833,0.5673333333333321
834,0.5734666666666655
835,0.5673333333333321
836,0.5673333333333321
837,0.5642666666666656
838,0.5673333333333321
839,0.5642666666666656
840,0.5703999999999988
841,0.5642666666666656
842,0.5550666666666657
843,0.5611999999999989
844,0.5611999999999989
845,0.5642666666666656
846,0.5703999999999988
847,0.5734666666666655
848,0.576533333333332
849,0.5703999999999988
850,0.5642666666666656
851,0.5673333333333321
852,0.5673333333333321
853,0.5581333333333323
854,0.5581333333333323
855,0.5642666666666656
856,0.5611999999999989
857,0.5611999999999989
858,0.5611999999999989
859,0.5550666666666657
860,0.5581333333333323
861,0.5550666666666657
862,0.5611999999999989
863,0.5673333333333321
864,0.5734666666666655
865,0.576533333333332
866,0.5734666666666655
867,0.5734666666666655
868,0.5703999999999988
869,0.5673333333333321
870,0.5673333333333321
871,0.5642666666666656
872,0.5642666666666656
