,Weekend - Level 2 - Diversified (75th percentile) of 100 EVs
0,0.87584
1,0.8243199999999999
2,0.8243199999999999
3,0.8243199999999999
4,0.8243199999999999
5,0.8243199999999999
6,0.8243199999999999
7,0.8243199999999999
8,0.8243199999999999
9,0.8243199999999999
10,0.8243199999999999
11,0.8243199999999999
12,0.8243199999999999
13,0.8243199999999999
14,0.7728
15,0.7728
16,0.7728
17,0.7728
18,0.7728
19,0.7728
20,0.7728
21,0.7728
22,0.7728
23,0.7728
24,0.7728
25,0.7728
26,0.7341599999999999
27,0.7341599999999999
28,0.7212799999999999
29,0.7212799999999999
30,0.7212799999999999
31,0.7212799999999999
32,0.7212799999999999
33,0.7212799999999999
34,0.7212799999999999
35,0.7212799999999999
36,0.7212799999999999
37,0.7212799999999999
38,0.6826399999999999
39,0.6826399999999999
40,0.66976
41,0.66976
42,0.66976
43,0.66976
44,0.66976
45,0.66976
46,0.66976
47,0.66976
48,0.66976
49,0.66976
50,0.66976
51,0.66976
52,0.66976
53,0.66976
54,0.66976
55,0.66976
56,0.66976
57,0.66976
58,0.66976
59,0.66976
60,0.66976
61,0.66976
62,0.66976
63,0.66976
64,0.63112
65,0.63112
66,0.61824
67,0.61824
68,0.61824
69,0.61824
70,0.61824
71,0.61824
72,0.61824
73,0.61824
74,0.56672
75,0.56672
76,0.56672
77,0.56672
78,0.56672
79,0.56672
80,0.56672
81,0.56672
82,0.56672
83,0.52808
84,0.5152
85,0.5152
86,0.5152
87,0.5152
88,0.5152
89,0.5152
90,0.5152
91,0.5152
92,0.5152
93,0.5152
94,0.5152
95,0.5152
96,0.5152
97,0.5152
98,0.5152
99,0.5152
100,0.5152
101,0.46368000000000004
102,0.5152
103,0.5152
104,0.5152
105,0.5152
106,0.5152
107,0.5152
108,0.46368000000000004
109,0.46368000000000004
110,0.46368000000000004
111,0.46368000000000004
112,0.46368000000000004
113,0.46368000000000004
114,0.46368000000000004
115,0.46368000000000004
116,0.46368000000000004
117,0.46368000000000004
118,0.46368000000000004
119,0.46368000000000004
120,0.46368000000000004
121,0.42504
122,0.41215999999999997
123,0.41215999999999997
124,0.41215999999999997
125,0.41215999999999997
126,0.41215999999999997
127,0.41215999999999997
128,0.41215999999999997
129,0.41215999999999997
130,0.41215999999999997
131,0.41215999999999997
132,0.41215999999999997
133,0.41215999999999997
134,0.41215999999999997
135,0.37351999999999996
136,0.37351999999999996
137,0.36063999999999996
138,0.36063999999999996
139,0.36063999999999996
140,0.36063999999999996
141,0.36063999999999996
142,0.36063999999999996
143,0.36063999999999996
144,0.36063999999999996
145,0.36063999999999996
146,0.36063999999999996
147,0.30912
148,0.30912
149,0.30912
150,0.30912
151,0.30912
152,0.30912
153,0.30912
154,0.30912
155,0.30912
156,0.30912
157,0.30912
158,0.30912
159,0.30912
160,0.30912
161,0.30912
162,0.2576
163,0.2576
164,0.2576
165,0.2576
166,0.2576
167,0.2576
168,0.2576
169,0.2576
170,0.2576
171,0.2576
172,0.2576
173,0.2576
174,0.2576
175,0.2576
176,0.2576
177,0.2576
178,0.2576
179,0.2576
180,0.2576
181,0.2576
182,0.2576
183,0.2576
184,0.2576
185,0.2576
186,0.2576
187,0.2576
188,0.2576
189,0.2576
190,0.2576
191,0.2576
192,0.2576
193,0.2576
194,0.2576
195,0.2576
196,0.20607999999999999
197,0.20607999999999999
198,0.20607999999999999
199,0.20607999999999999
200,0.20607999999999999
201,0.20607999999999999
202,0.20607999999999999
203,0.20607999999999999
204,0.20607999999999999
205,0.20607999999999999
206,0.20607999999999999
207,0.20607999999999999
208,0.20607999999999999
209,0.20607999999999999
210,0.20607999999999999
211,0.20607999999999999
212,0.20607999999999999
213,0.20607999999999999
214,0.20607999999999999
215,0.20607999999999999
216,0.20607999999999999
217,0.20607999999999999
218,0.20607999999999999
219,0.20607999999999999
220,0.20607999999999999
221,0.20607999999999999
222,0.20607999999999999
223,0.20607999999999999
224,0.20607999999999999
225,0.20607999999999999
226,0.20607999999999999
227,0.20607999999999999
228,0.20607999999999999
229,0.20607999999999999
230,0.20607999999999999
231,0.20607999999999999
232,0.20607999999999999
233,0.20607999999999999
234,0.20607999999999999
235,0.20607999999999999
236,0.20607999999999999
237,0.20607999999999999
238,0.20607999999999999
239,0.20607999999999999
240,0.20607999999999999
241,0.16743999999999998
242,0.16743999999999998
243,0.16743999999999998
244,0.15456
245,0.15456
246,0.15456
247,0.15456
248,0.15456
249,0.15456
250,0.15456
251,0.15456
252,0.15456
253,0.15456
254,0.15456
255,0.15456
256,0.15456
257,0.15456
258,0.15456
259,0.15456
260,0.15456
261,0.15456
262,0.15456
263,0.15456
264,0.15456
265,0.15456
266,0.15456
267,0.15456
268,0.15456
269,0.15456
270,0.15456
271,0.15456
272,0.15456
273,0.15456
274,0.15456
275,0.15456
276,0.15456
277,0.15456
