,Weekend - Level 1 - Diversified (75th percentile) of 100 EVs
206,0.0368
207,0.0368
208,0.0368
209,0.0368
210,0.0368
211,0.0368
212,0.0368
213,0.0368
214,0.0368
215,0.0368
216,0.0368
217,0.0368
218,0.0368
219,0.0368
220,0.0368
221,0.0368
222,0.0368
223,0.0368
224,0.0368
225,0.0368
226,0.0368
227,0.0368
228,0.0368
229,0.0368
230,0.0368
231,0.0368
232,0.0368
233,0.0368
234,0.0368
235,0.0368
236,0.0368
237,0.0368
238,0.0368
239,0.0368
240,0.0368
241,0.0368
242,0.0368
243,0.0368
244,0.0368
245,0.0368
246,0.0368
247,0.0368
248,0.0368
249,0.0368
250,0.0368
251,0.0368
252,0.0368
253,0.0368
254,0.0368
255,0.0368
256,0.0368
257,0.0368
258,0.0368
259,0.0368
260,0.0368
261,0.0368
262,0.0368
263,0.0368
264,0.0368
265,0.0368
266,0.0368
267,0.0368
268,0.0368
269,0.0368
270,0.0368
271,0.0368
272,0.0368
273,0.0368
274,0.0368
275,0.0368
276,0.0368
277,0.0368
278,0.0368
279,0.0368
280,0.0368
281,0.0368
282,0.0368
283,0.0368
284,0.0368
285,0.0368
286,0.0368
287,0.0368
288,0.0368
289,0.0368
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0092
465,0.0092
466,0.0368
467,0.0368
468,0.0368
469,0.0368
470,0.0368
471,0.0368
472,0.0368
473,0.0368
474,0.0368
475,0.0368
476,0.0368
477,0.0368
478,0.0368
479,0.0368
480,0.0368
481,0.0368
482,0.0368
483,0.0368
484,0.0368
485,0.0368
486,0.0368
487,0.0368
488,0.0368
489,0.0368
490,0.0368
491,0.0368
492,0.0368
493,0.0368
494,0.0368
495,0.0368
496,0.0368
497,0.0368
498,0.0368
499,0.046
500,0.046
501,0.0736
502,0.0736
503,0.0736
504,0.0736
505,0.0736
506,0.0736
507,0.0736
508,0.0736
509,0.0736
510,0.0736
511,0.0736
512,0.0736
513,0.0736
514,0.0736
515,0.0736
516,0.0736
517,0.0736
518,0.0736
519,0.0736
520,0.0736
521,0.0736
522,0.0736
523,0.0736
524,0.0736
525,0.11040000000000001
526,0.11040000000000001
527,0.11040000000000001
528,0.11040000000000001
529,0.11040000000000001
530,0.11040000000000001
531,0.11040000000000001
532,0.11040000000000001
533,0.11040000000000001
534,0.11040000000000001
535,0.11040000000000001
536,0.11040000000000001
537,0.11040000000000001
538,0.11040000000000001
539,0.11040000000000001
540,0.11040000000000001
541,0.11960000000000001
542,0.11960000000000001
543,0.11960000000000001
544,0.11040000000000001
545,0.1472
546,0.1472
547,0.1472
548,0.1472
549,0.1472
550,0.11040000000000001
551,0.11040000000000001
552,0.11040000000000001
553,0.11040000000000001
554,0.11040000000000001
555,0.1472
556,0.1472
557,0.1472
558,0.1472
559,0.1472
560,0.1472
561,0.1472
562,0.1472
563,0.1472
564,0.1472
565,0.1472
566,0.1472
567,0.1472
568,0.1472
569,0.1472
570,0.1472
571,0.1472
572,0.1472
573,0.18400000000000002
574,0.18400000000000002
575,0.18400000000000002
576,0.18400000000000002
577,0.18400000000000002
578,0.18400000000000002
579,0.18400000000000002
580,0.18400000000000002
581,0.18400000000000002
582,0.18400000000000002
583,0.18400000000000002
584,0.18400000000000002
585,0.18400000000000002
586,0.18400000000000002
587,0.18400000000000002
588,0.18400000000000002
589,0.18400000000000002
