,Weekday - Level 2 - Diversified (75th percentile) of 100 EVs
0,1.0304000000000002
1,1.0304000000000002
2,1.0304000000000002
3,1.0304000000000002
4,0.9917600000000002
5,0.9917600000000002
6,0.9788800000000002
7,0.9788800000000002
8,0.9788800000000002
9,0.9788800000000002
10,0.9402400000000001
11,0.9402400000000001
12,0.9402400000000001
13,0.9273600000000001
14,0.9273600000000001
15,0.9273600000000001
16,0.9273600000000001
17,0.9273600000000001
18,0.88872
19,0.88872
20,0.87584
21,0.87584
22,0.87584
23,0.87584
24,0.87584
25,0.87584
26,0.87584
27,0.87584
28,0.87584
29,0.87584
30,0.87584
31,0.87584
32,0.87584
33,0.87584
34,0.8243199999999999
35,0.8243199999999999
36,0.8371999999999999
37,0.8371999999999999
38,0.8243199999999999
39,0.8243199999999999
40,0.8243199999999999
41,0.8243199999999999
42,0.8243199999999999
43,0.8243199999999999
44,0.8243199999999999
45,0.7728
46,0.7728
47,0.7728
48,0.7728
49,0.7728
50,0.7728
51,0.7728
52,0.7728
53,0.7728
54,0.7728
55,0.7728
56,0.7728
57,0.7728
58,0.7728
59,0.7728
60,0.7212799999999999
61,0.7212799999999999
62,0.7212799999999999
63,0.7212799999999999
64,0.7212799999999999
65,0.7212799999999999
66,0.7212799999999999
67,0.66976
68,0.66976
69,0.66976
70,0.66976
71,0.66976
72,0.66976
73,0.66976
74,0.66976
75,0.66976
76,0.66976
77,0.63112
78,0.63112
79,0.61824
80,0.61824
81,0.61824
82,0.61824
83,0.61824
84,0.61824
85,0.5796
86,0.56672
87,0.56672
88,0.56672
89,0.56672
90,0.56672
91,0.56672
92,0.56672
93,0.56672
94,0.56672
95,0.52808
96,0.5152
97,0.5152
98,0.5152
99,0.47656
100,0.47656
101,0.47656
102,0.46368000000000004
103,0.47656
104,0.46368000000000004
105,0.46368000000000004
106,0.46368000000000004
107,0.46368000000000004
108,0.46368000000000004
109,0.46368000000000004
110,0.46368000000000004
111,0.46368000000000004
112,0.46368000000000004
113,0.46368000000000004
114,0.46368000000000004
115,0.46368000000000004
116,0.41215999999999997
117,0.41215999999999997
118,0.41215999999999997
119,0.41215999999999997
120,0.41215999999999997
121,0.41215999999999997
122,0.41215999999999997
123,0.41215999999999997
124,0.41215999999999997
125,0.37351999999999996
126,0.37351999999999996
127,0.37351999999999996
128,0.37351999999999996
129,0.37351999999999996
130,0.37351999999999996
131,0.36063999999999996
132,0.36063999999999996
133,0.36063999999999996
134,0.36063999999999996
135,0.36063999999999996
136,0.36063999999999996
137,0.36063999999999996
138,0.36063999999999996
139,0.36063999999999996
140,0.36063999999999996
141,0.32199999999999995
142,0.32199999999999995
143,0.30912
144,0.30912
145,0.27048
146,0.27048
147,0.27048
148,0.27048
149,0.2576
150,0.2576
151,0.2576
152,0.2576
153,0.2576
154,0.2576
155,0.2576
156,0.2576
157,0.2576
158,0.2576
159,0.2576
160,0.2576
161,0.2576
162,0.2576
163,0.2576
164,0.2576
165,0.2576
166,0.2576
167,0.2576
168,0.2576
169,0.20607999999999999
170,0.20607999999999999
171,0.20607999999999999
172,0.20607999999999999
173,0.20607999999999999
